miccedu_id;clear_name;ind_2013_value;ind_2014_value;ind_2015_value;ind_2016_value;ind_2017_value;ind_2018_value;ind_2019_value;ind_2020_value;ind_2021_value
1;Адыгейский государственный университет;4,42;63,82;30,16;67,38;72,52;79,07;67,23;81,76;24,7
2;Алтайская государственная педагогическая академия;94,86;94,16;95,75;91,27;92;87,42;71,32;86,63;99,94
3;Алтайский государственный технический университет им. И.И. Ползунова;87,94;85,55;91,77;69,83;70,5;73,89;63,86;39,27;51,92
4;Алтайский государственный университет;85,05;87,6;95,02;86,05;100;98,64;88,23;71,87;90,61
5;Амурский государственный университет;64,56;91,44;87,23;62,21;71,36;70,41;56,36;79,09;97,42
6;Амурский гуманитарно-педагогический государственный университет;95,89;93,56;95,37;95,61;94,74;92,21;96;94,79;88,2
7;Ангарская государственная техническая академия;99,4;100;79,71;87,19;83,28;100;100;100;39,31
9;Армавирская государственная педагогическая академия;100;100;100;96,84;93,14;97,64;58,28;95,44;83,4
11;Астраханский государственный университет;68,77;84,34;73,93;66,19;98,39;85,02;99,15;99,99;76,2
12;Байкальский государственный университет экономики и права;95,67;97,29;96,11;94,05;86,52;90,26;85,75;96,46;96,54
13;Балтийский государствнный технический университет ВОЕНМЕХ им. Д.Ф. Устинова;74,4;70,09;88,9;80,78;52,11;85,29;91,14;70,09;41,32
14;Башкирский государственный педагогический университет им. М. Акмуллы;95,99;93,93;96,42;97,98;95,83;96,88;93,21;98,35;71,77
15;Башкирский государственный университет;87,79;88,13;80,19;88,85;99,93;85,28;92,18;95,49;92,14
16;Белгородский государственный технологический университет им. В.Г. Шухова;99,61;99,61;99,68;88,8;88,99;84,14;85,88;84,47;90,4
17;Белгородский государственный национальный исследовательский университет;97,16;96,47;94,12;98,81;95,83;97,2;96,64;94,76;95,26
19;Алтайская государственная академия образования имени В.М. Шукшина;63,06;69,03;58,88;68,02;100;79,17;95,49;72,13;49,46
21;Благовещенский государственный педагогический университет;87,7;76,98;72,15;88,22;77,2;85,66;75,12;85,28;59,87
23;Братский государственный университет;88,92;96,22;99,05;98,82;97,52;84,04;78,35;17,02;40,25
24;Брянская государственная инженерно-технологическая академия;90,5;100;99,62;100;76,26;81,9;36,52;79,5;90,43
25;Брянский государственный технический университет;86,14;81,89;90,46;90,59;88,05;74,16;61,04;95,17;99,92
26;Брянский государственный университет имени академика И.Г. Петровского.;67,93;67,45;72,6;84,81;51,41;95,61;68,25;72,06;27,29
27;Бурятский государственный университет;91;92,86;93,72;93,02;88,79;74,98;99,24;95,42;92,04
28;Владивостокский государственный университет экономики и сервиса;88,42;84,64;96,63;94,03;88,76;93,14;93,8;83,22;72,96
30;Владимирский государственный университет имени Александра Григорьевича и Николая Григорьевича Столетовых;91,2;97,69;100;81,29;61,81;42,43;47,87;73,29;72
33;Волгоградский государственный архитектурно-строительный университет;86,79;83,74;85,59;;;;;;
34;Волгоградский государственный социально-педагогический университет;86,21;61,21;87,64;;85,91;62,39;63,92;87,49;86
35;Волгоградский государственный технический университет;100;100;99,14;95,31;94,78;95,73;89,89;96,58;88,93
36;Волгоградский государственный университет;33,61;62,77;82,19;49,12;96,84;83,2;44,88;74,61;82,79
39;Вологодский государственный университет;96,64;95,09;98,91;88,24;71,7;80,39;93,04;92,05;92,65
